Symbol,Close,Trend,Structure,Category
TATAPOWER,400.95,1,29,EMERGING_LEADER
HAL,4403.0,1,28,EMERGING_LEADER
JINDALSTEL,1139.3,1,28,EMERGING_LEADER
MAXHEALTH,1086.95,1,28,EMERGING_LEADER
BAJAJ-AUTO,9999.0,1,27,EMERGING_LEADER
CIPLA,1354.1,1,27,EMERGING_LEADER
EICHERMOT,7584.5,1,27,EMERGING_LEADER
INDIGO,4977.0,1,27,EMERGING_LEADER
M&M,3088.0,1,27,EMERGING_LEADER
MARUTI,13424.0,1,27,EMERGING_LEADER
SBILIFE,1805.9,1,27,EMERGING_LEADER
INFY,1042.0,1,26,EMERGING_LEADER
SHRIRAMFIN,1003.35,1,25,EMERGING_LEADER
BOSCHLTD,40100.0,1,24,EMERGING_LEADER
NTPC,365.8,1,24,EMERGING_LEADER
MARICO,821.55,1,23,EMERGING_LEADER
SUNPHARMA,1833.8,1,23,EMERGING_LEADER
ETERNAL,258.15,1,22,EMERGING_LEADER
PNB,108.41,1,22,EMERGING_LEADER
ASIANPAINT,2732.8,1,21,EMERGING_LEADER
IOC,143.06,1,21,EMERGING_LEADER
MOTHERSON,144.16,1,21,EMERGING_LEADER
PIDILITIND,1587.7,1,20,EMERGING_LEADER
RECLTD,355.75,1,20,EMERGING_LEADER
TATACONSUM,1112.4,1,20,EMERGING_LEADER
BANKBARODA,280.0,1,19,EMERGING_LEADER
GAIL,173.73,1,19,EMERGING_LEADER
BRITANNIA,5214.5,1,18,EMERGING_LEADER
CANBK,133.83,1,18,EMERGING_LEADER
ABB,7249.5,1,17,EMERGING_LEADER
POWERGRID,290.45,1,17,EMERGING_LEADER
BERGEPAINT,542.05,1,16,EMERGING_LEADER
WIPRO,177.81,1,16,EMERGING_LEADER
BAJAJFINSV,1767.2,1,15,EMERGING_LEADER
LODHA,912.85,1,15,EMERGING_LEADER
ULTRACEMCO,11396.0,1,12,EMERGING_LEADER
BPCL,307.9,1,10,EMERGING_LEADER
DLF,628.75,1,10,EMERGING_LEADER
