Rank,Symbol,Structure,Momentum,Trend,FinalScore
1,LT,54,54,1,216
2,HINDALCO,53,0,1,159
3,APOLLOHOSP,51,3,1,156
4,SBIN,40,35,1,155
5,BHARTIARTL,35,44,1,149
6,POLYCAB,47,4,1,145
7,COALINDIA,46,2,1,140
8,CGPOWER,45,4,1,139
9,KOTAKBANK,37,26,1,137
10,TVSMOTOR,44,-1,1,131
11,SIEMENS,42,2,1,128
12,TECHM,42,2,1,128
13,TRENT,40,-1,1,119
14,HCLTECH,39,1,1,118
15,BEL,40,-3,1,117
16,INDUSINDBK,38,0,1,114
17,TATASTEEL,37,-2,1,109
18,JSWSTEEL,36,1,1,109
19,TORNTPHARM,36,-2,1,106
20,AXISBANK,34,3,1,105
21,TITAN,35,-1,1,104
22,ADANIPORTS,33,4,1,103
23,INFY,26,23,1,101
24,ONGC,34,-3,1,99
25,INDHOTEL,31,3,1,96
26,ABCAPITAL,32,-1,1,95
27,DIVISLAB,32,-1,1,95
28,VEDL,31,-1,1,92
29,GRASIM,30,2,1,92
30,CHOLAFIN,30,0,1,90
31,TATAPOWER,29,-1,1,86
32,EICHERMOT,27,1,1,82
33,HAL,28,-2,1,82
34,INDIGO,27,1,1,82
35,MAXHEALTH,28,-2,1,82
36,BAJAJ-AUTO,27,0,1,81
37,JINDALSTEL,28,-3,1,81
38,SBILIFE,27,0,1,81
39,MARUTI,27,0,1,81
40,M&M,27,-3,1,78
41,CIPLA,27,-3,1,78
42,BOSCHLTD,24,3,1,75
43,SHRIRAMFIN,25,-2,1,73
44,NTPC,24,0,1,72
45,SUNPHARMA,23,2,1,71
46,MARICO,23,-1,1,68
47,PNB,22,0,1,66
48,ETERNAL,22,0,1,66
49,ASIANPAINT,21,3,1,66
50,IOC,21,3,1,66
51,MOTHERSON,21,2,1,65
52,RECLTD,20,1,1,61
53,PIDILITIND,20,0,1,60
54,GAIL,19,3,1,60
55,BANKBARODA,19,2,1,59
56,TATACONSUM,20,-4,1,56
57,CANBK,18,1,1,55
58,BRITANNIA,18,-2,1,52
59,POWERGRID,17,-2,1,49
60,BERGEPAINT,16,1,1,49
61,ABB,17,-2,1,49
62,WIPRO,16,0,1,48
63,LODHA,15,1,1,46
64,BAJAJFINSV,15,-3,1,42
65,ITC,7,15,1,36
66,ULTRACEMCO,12,-3,1,33
67,BPCL,10,1,1,31
68,HDFCBANK,6,13,1,31
69,ZYDUSLIFE,9,3,1,30
70,DLF,10,-1,1,29
71,NESTLEIND,8,0,1,24
72,ASHOKLEY,9,-3,1,24
73,ICICIBANK,3,15,1,24
74,ABFRL,6,-1,1,17
75,GODREJCP,5,1,1,16
76,JSWENERGY,4,0,1,12
77,HINDUNILVR,4,-1,1,11
78,AUROPHARMA,4,-4,1,8
79,ADANIENT,1,4,0,7
80,ADANIPOWER,1,1,0,4
81,RELIANCE,0,4,0,4
82,HAVELLS,1,-1,0,2
83,PAYTM,1,-2,0,1
84,HEROMOTOCO,0,-1,0,-1
85,IRCTC,1,-4,0,-1
86,DRREDDY,-2,0,-1,-6
87,BAJFINANCE,-4,-3,-1,-15
88,JIOFIN,-5,-3,-1,-18
89,TCS,-5,-4,-1,-19
90,AMBUJACEM,-7,-1,-1,-22
91,SHREECEM,-10,0,-1,-30
92,ADANIGREEN,-13,4,-1,-35
93,SBICARD,-13,-2,-1,-41
94,DABUR,-13,-3,-1,-42
95,HDFCLIFE,-13,-3,-1,-42
