Symbol,Current,Previous,Momentum,Trend
LT,54,0,54,1
BHARTIARTL,35,-9,44,1
SBIN,40,5,35,1
KOTAKBANK,37,11,26,1
INFY,26,3,23,1
ICICIBANK,3,-12,15,1
ITC,7,-8,15,1
HDFCBANK,6,-7,13,1
POLYCAB,47,43,4,1
ADANIGREEN,-13,-17,4,-1
ADANIPORTS,33,29,4,1
CGPOWER,45,41,4,1
ADANIENT,1,-3,4,0
RELIANCE,0,-4,4,0
ASIANPAINT,21,18,3,1
APOLLOHOSP,51,48,3,1
BOSCHLTD,24,21,3,1
IOC,21,18,3,1
ZYDUSLIFE,9,6,3,1
INDHOTEL,31,28,3,1
GAIL,19,16,3,1
AXISBANK,34,31,3,1
GRASIM,30,28,2,1
SUNPHARMA,23,21,2,1
TECHM,42,40,2,1
BANKBARODA,19,17,2,1
COALINDIA,46,44,2,1
SIEMENS,42,40,2,1
MOTHERSON,21,19,2,1
BERGEPAINT,16,15,1,1
BPCL,10,9,1,1
ADANIPOWER,1,0,1,0
CANBK,18,17,1,1
LODHA,15,14,1,1
JSWSTEEL,36,35,1,1
INDIGO,27,26,1,1
HCLTECH,39,38,1,1
GODREJCP,5,4,1,1
RECLTD,20,19,1,1
EICHERMOT,27,26,1,1
JSWENERGY,4,4,0,1
INDUSINDBK,38,38,0,1
MARUTI,27,27,0,1
ETERNAL,22,22,0,1
DRREDDY,-2,-2,0,-1
BAJAJ-AUTO,27,27,0,1
CHOLAFIN,30,30,0,1
SHREECEM,-10,-10,0,-1
NESTLEIND,8,8,0,1
PIDILITIND,20,20,0,1
WIPRO,16,16,0,1
NTPC,24,24,0,1
PNB,22,22,0,1
SBILIFE,27,27,0,1
HINDALCO,53,53,0,1
HINDUNILVR,4,5,-1,1
AMBUJACEM,-7,-6,-1,-1
ABCAPITAL,32,33,-1,1
ABFRL,6,7,-1,1
DLF,10,11,-1,1
DIVISLAB,32,33,-1,1
VEDL,31,32,-1,1
TVSMOTOR,44,45,-1,1
TITAN,35,36,-1,1
HAVELLS,1,2,-1,0
TRENT,40,41,-1,1
TATAPOWER,29,30,-1,1
MARICO,23,24,-1,1
HEROMOTOCO,0,1,-1,0
TORNTPHARM,36,38,-2,1
BRITANNIA,18,20,-2,1
ABB,17,19,-2,1
SBICARD,-13,-11,-2,-1
SHRIRAMFIN,25,27,-2,1
TATASTEEL,37,39,-2,1
PAYTM,1,3,-2,0
MAXHEALTH,28,30,-2,1
POWERGRID,17,19,-2,1
HAL,28,30,-2,1
ONGC,34,37,-3,1
DABUR,-13,-10,-3,-1
BEL,40,43,-3,1
CIPLA,27,30,-3,1
BAJAJFINSV,15,18,-3,1
ASHOKLEY,9,12,-3,1
BAJFINANCE,-4,-1,-3,-1
HDFCLIFE,-13,-10,-3,-1
ULTRACEMCO,12,15,-3,1
M&M,27,30,-3,1
JIOFIN,-5,-2,-3,-1
JINDALSTEL,28,31,-3,1
AUROPHARMA,4,8,-4,1
IRCTC,1,5,-4,0
TCS,-5,-1,-4,-1
TATACONSUM,20,24,-4,1
