Symbol,Category,Score,Close,EMA50,RSI,Trend,Structure
NESTLEIND,WATCHLIST,85,1407.7,1387.31,54.22,1,8
ICICIBANK,WATCHLIST,80,1348.0,1291.68,79.32,1,3
ZYDUSLIFE,WATCHLIST,80,1070.7,1020.19,41.63,1,9
AUROPHARMA,WATCHLIST,75,1466.3,1421.68,57.31,1,4
M&M,WATCHLIST,70,3088.0,3119.22,63.12,1,27
ASHOKLEY,WATCHLIST,70,156.88,157.36,62.13,1,9
JSWENERGY,WATCHLIST,70,571.0,552.28,44.5,1,4
TVSMOTOR,WATCHLIST,65,3435.6,3459.96,58.19,1,44
ULTRACEMCO,WATCHLIST,65,11396.0,11450.7,55.64,1,12
BRITANNIA,WATCHLIST,65,5214.5,5380.72,55.64,1,18
POWERGRID,WATCHLIST,65,290.45,295.11,57.6,1,17
HDFCBANK,WATCHLIST,65,777.85,778.88,68.28,1,6
ITC,WATCHLIST,65,289.55,292.75,64.82,1,7
BAJAJ-AUTO,WATCHLIST,60,9999.0,10009.6,28.06,1,27
TECHM,WATCHLIST,60,1378.8,1453.58,27.43,1,42
TATASTEEL,WATCHLIST,60,197.31,201.95,34.65,1,37
SBILIFE,WATCHLIST,60,1805.9,1831.89,48.71,1,27
JINDALSTEL,WATCHLIST,60,1139.3,1187.47,27.68,1,28
HINDUNILVR,WATCHLIST,60,2189.8,2197.78,67.37,1,4
INFY,WATCHLIST,60,1042.0,1174.95,30.66,1,26
HCLTECH,WATCHLIST,60,1118.6,1207.55,36.7,1,39
COALINDIA,WATCHLIST,60,450.65,456.09,34.2,1,46
VEDL,WATCHLIST,60,300.5,405.2,25.39,1,31
WIPRO,WATCHLIST,60,177.81,195.19,21.46,1,16
ONGC,WATCHLIST,60,244.2,270.0,23.62,1,34
TATAPOWER,WATCHLIST,60,400.95,409.25,31.09,1,29
HINDALCO,WATCHLIST,60,1007.4,1041.8,20.2,1,53
TATACONSUM,WATCHLIST,60,1112.4,1140.04,38.25,1,20
NTPC,WATCHLIST,60,365.8,375.11,38.12,1,24
ABFRL,WATCHLIST,55,60.96,62.59,42.62,1,6
GODREJCP,WATCHLIST,50,1004.0,1038.98,48.28,1,5
ADANIENT,WATCHLIST,40,3029.2,2686.78,62.0,0,1
ADANIPOWER,WATCHLIST,25,231.62,214.7,49.39,0,1
HAVELLS,WATCHLIST,10,1187.9,1210.0,60.95,0,1
HEROMOTOCO,WATCHLIST,10,4947.0,5047.53,60.11,0,0
IRCTC,WATCHLIST,5,520.75,534.44,55.39,0,1
RELIANCE,WATCHLIST,5,1326.1,1338.94,54.3,0,0
PAYTM,WATCHLIST,0,1093.8,1104.22,49.81,0,1
